viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes
2022-10-23,LC90710162022296LGN01,2820,4964,62.47181,-154.22681,0.0872,0.2069,0.2899,0.0384,266.3153,265.3904,74.4,-171.586,0.74,-141.202,0.1956,0.1533,0.0859,0.2394,0.0235,264.6863,-0.2193,0.7343,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=264.69K NDSI=0.7343 APPROVED.
2022-10-23,LC90710162022296LGN01,2829,5649,62.44141,-151.91263,0.7884,0.1191,0.1059,0.0798,276.0728,271.739,74.546,-169.262,9.198,-107.353,0.0452,0.0696,0.0639,0.0648,0.0919,273.2484,0.0356,-0.138,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.25K NDSI=-0.138 APPROVED.
2022-10-23,LC90710162022296LGN01,2837,5627,62.41438,-151.98695,0.3459,0.0793,0.0961,0.0782,274.0898,272.0775,74.513,-169.337,8.852,-106.581,0.0147,0.0171,0.0119,0.0633,0.0688,272.4896,-0.5743,-0.6014,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=272.49K NDSI=-0.6014 APPROVED.
2022-10-23,LC90710162022296LGN01,2844,5865,62.39073,-151.1829,0.3706,0.1246,0.1637,0.0931,273.3704,271.5528,74.561,-168.529,11.777,-105.052,0.0003,0.0165,0.0182,0.1,0.0767,272.4247,-0.7166,-0.6458,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=272.42K NDSI=-0.6458 APPROVED.
2022-10-23,LC90710162022296LGN01,2857,5293,62.34681,-153.11533,0.1055,0.0758,0.1141,0.0382,269.6573,267.8826,74.356,-170.469,4.451,-105.583,0.0157,0.0004,-0.0272,0.0492,0.0097,267.0379,-0.9853,-0.9276,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=267.04K NDSI=-0.9276 APPROVED.
2022-10-23,LC90710162022296LGN01,2901,5539,62.19816,-152.28425,0.0806,0.0813,0.1119,0.1286,275.8376,273.3258,74.274,-169.641,7.142,-109.929,0.0039,0.0027,-0.0064,0.0423,0.0787,274.3285,-0.8811,-0.9343,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=274.33K NDSI=-0.9343 APPROVED.
2022-10-23,LC90710162022296LGN01,2912,5566,62.161,-152.19303,0.1951,0.0814,0.1106,0.1191,275.9144,273.1043,74.245,-169.548,7.387,-106.617,0.0533,0.049,0.0518,0.1097,0.1594,275.0976,-0.3823,-0.5294,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=275.1K NDSI=-0.5294 APPROVED.
2022-10-23,LC90710162022296LGN01,2937,5964,62.07654,-150.84844,0.0808,0.0618,0.1018,0.0869,273.9075,272.7999,74.282,-168.205,12.185,-108.115,0.0212,0.023,0.0229,0.0772,0.0835,273.6552,-0.541,-0.5682,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.66K NDSI=-0.5682 APPROVED.
2022-10-23,LC90710162022296LGN01,2972,5839,61.9583,-151.27073,0.1223,0.0724,0.0981,0.0789,274.4594,272.2226,74.124,-168.626,10.3,-105.972,0.0162,0.0251,0.0341,0.1167,0.102,273.6142,-0.6462,-0.6053,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=273.61K NDSI=-0.6053 APPROVED.
